Video ID,Title,SOALAS Count,LAS Count,Applewood Count,Transcript?
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,1,1,1,Yes
O2E3ZIUho04,7 Day Honey Cured Steak,0,0,1,Yes
AiijhzdSj5Y,30 Tacos in 30 Hours,0,0,0,Yes
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,0,0,0,Yes
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,0,0,0,Yes
VG8fgE1e5_g,How to Carve a Turkey,0,0,0,Yes
mOug1POqBHY,Parm Wheel Dry Aged Steak,0,0,0,Yes
cauLrvx8-Ew,The World’s Crispiest Turkey,0,1,0,Yes
vpJIT3m1wik,Prime Rib Pho,0,0,0,Yes
r1KO1sWLU4M,Why is this sandwich soggy...,0,1,0,Yes
lSxNFw5muOk,Monte Cristo Big Mac,0,0,0,Yes
34klRJM77Wk,$200 Zebra Steak,0,0,0,Yes
3stVLdXiAjw,Truffle Parm Beef Hump,0,0,0,Yes
aQWn6QSUshY,"Forging The World’s Rarest Knife ($50,000)",0,0,0,Yes
s8VNFro4k3c,Salmon Pastrami (game changer),0,0,0,Yes
ZPtCLU9rVvg,"Harvesting 3,000 lbs of Axis Deer",0,0,0,Yes
c11YyI2PFVg,Steak School: T-Bone,0,0,0,Yes
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,0,0,0,Yes
gNGn90gVozA,Chimichurri Stuffed Chicken,0,0,0,Yes
Owxl9dQxqis,"$2,500 Lobster Gnocchi",0,0,0,Yes
xqBQVqqCGY4,Is this the perfect bite?,0,0,0,Yes
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),0,0,0,Yes
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,0,0,0,Yes
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,0,0,0,Yes
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,0,0,0,Yes
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",0,0,0,Yes
pdp8epfX7jk,Larry the Lobster Boil,0,0,0,Yes
EI__pA1Rm2o,3 Levels of Duck...,0,0,0,Yes
t2viyjJFNPA,If you find yourself with a whole salmon...,0,0,0,Yes
GfAf194V0KM,Doctor said I need to eat more vegetables...,0,0,0,Yes
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",0,0,0,Yes
V0gUMXDDD0Q,I almost burned down my neighborhood...,0,0,0,Yes
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,0,0,0,Yes
gR8HUkMWF3o,I took over a butcher shop for a day...,0,0,0,Yes
S_qPNUVQd44,Bacon makes EVERYTHING Better,0,0,0,Yes
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,0,0,0,Yes
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,1,1,1,Yes
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,0,0,0,Yes
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",0,0,0,Yes
kwfqjt-XBH8,Cooking a Frozen Brisket,0,1,0,Yes
YW_YtcieURY,Double Crunchwrap Cheeseburger,0,0,0,Yes
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),0,0,0,Yes
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",0,0,0,Yes
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),0,0,0,Yes
GQk9dJmLxXg,I Turned Steak Into Bread,0,0,0,Yes
5_tuvX5ZqKk,Do you think he'll approve?,0,0,0,Yes
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,1,1,1,Yes
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,0,1,0,Yes
5o9tKN4r8D8,The World's Biggest Salmon Chip…,0,1,0,Yes
u79myUBKyjA,Day in the life at a beef jerky factory,0,0,0,Yes
XUP2UX-Ghsg,Flying with frozen meat...,0,0,0,Yes
vGDWdPipx6g,Cheap Wagyu A5 vs Expensive Grass-fed,0,0,0,Yes
Qf0bKgn5zvg,Cooking for Friends (Fantasy Football Edition),0,0,0,Yes
kBF-QMtCdsY,Peking Brisket,0,0,0,Yes
KbXElPzIW7g,Tomahawk Biggie Mac @albert_cancook,0,0,0,Yes
BxqTHHAAmkQ,The most important meeting of my life…,0,0,0,Yes
8Wofo0Pyt4o,Crème Brûlée Pork Belly Burnt Ends,0,1,0,Yes
whs9OexwT5o,“Well Done” Wagyu A5 😳,0,0,0,Yes
MO1u9sjNlio,What should I call this?,0,0,0,No
p0nwjMREcTs,A special batch of jerky…,0,0,0,Yes
NGrLLf_QMGc,Deep Fried Pork Belly Accordion,0,0,0,Yes
reUbPP1a0_c,30 Day Dry Aged Buffalo Brisket,0,0,0,Yes
AQJFGq1DEfY,I caught her cheating on Valentine's Day...,0,0,0,Yes
KxM-5_FqIBM,This was actually raw...,0,0,0,Yes
PEbdJgWoZ8w,Impress your valentine with…,0,0,0,Yes
seEcFZGgtek,Crispy Skin Buffalo Chicken Dip,1,1,1,Yes
LZwkkuEedDM,World's biggest corn dog… meat sticks live at maxjerky.com!,0,0,0,No
LhcdE6mJWX4,She asked me to catch a fish...,0,0,0,Yes
O4ho8IOpmas,Mango Habanero Pork Belly Twists,0,0,0,Yes
3eGqirz2P7Y,Best “juicy” comment wins...,0,0,0,Yes
0_SdRI7NdMw,Homemade Wagyu A5,0,0,0,Yes
5HYPRF8ZPqQ,Cooking a Prime Rib in 10lb of MSG,1,1,1,Yes
T33JUBAig3c,NYE King Crab Round 2,0,0,0,Yes
n_-5Tob_EJQ,24k Gold Dry Aged Ribeye,0,0,0,Yes
Wg3-dP4UGcE,My Brothers Industrial Bakery,0,0,0,Yes
IwCzubRup54,Chili Crisp Injected & Dry Aged Ribeye,0,1,0,Yes
ExQrrKffaK8,Deep Fried Prime Rib,1,1,1,Yes
Jg5yjQrY-t8,Not Your Average Chicken Bacon Ranch,0,0,0,Yes
Cq-qGAcChRM,Steak & Happy Potatoes,0,0,0,Yes
pYwoOxWndls,Car Cooking: Wagyu A5 Big Mac @itsQCP,0,0,0,Yes
PgW60Xw7f60,The Perfect Prime Rib,0,1,0,Yes
cC2d8zjCZPA,The Pizzaball Sub,0,0,0,Yes
GvWa-N_IWIE,I accidentally made pink short ribs…,1,1,1,Yes
JX0_STmuigQ,I Marinated Short Ribs for 10 Days...,0,0,0,Yes
8eCovKu12h4,What I ate in China,0,0,0,Yes
MchzmS7qu7A,Wagyu A5 Steak Accordion,0,0,0,Yes
xNMTeHu8R8w,Deep Fried Turkey,0,0,0,Yes
jpqMxSKk1BQ,How to Smoke Meat INDOORS,0,0,0,Yes
0owVfqYgaJg,Beef vs Tofu,0,0,0,Yes
z9hiA5fhCOU,The worst cooking appliance of all time...,0,0,0,Yes
GWDUG2UnSjw,A Plate of Bacon (literally),0,0,0,No
v5SdCKWQM3I,Cooking Brisket in 10lbs of Salt,0,1,0,Yes
FoEfFtdwEgc,The Cheapest Wagyu A5 I Could Find...,0,0,0,Yes
_LmRrKu401s,Filet mignon... like a brisket?,0,0,0,Yes
Twk0OmkN2gE,A peace offering...,0,0,0,Yes
X3ZfD7W1-cw,Is it Flatbread or Pizza?,0,0,0,Yes
KRspJcpai-Y,When an old man gives you a chicken...,0,0,0,Yes
W9rsY4QG2NY,Don't Make Promises You Can't Keep...,0,0,0,Yes
avhcZ6Iuv2w,Wagyu Tallow Dry Aged Lamb Shoulder,1,1,1,Yes
6ynfeCAzr0U,Garlic Confit Cowboy Butter,0,0,1,Yes
fztZ-oIXQMk,Chicharron Charcuterie Board,1,1,1,Yes
wLyQXLeXdc8,McDonald’s Beef Jerky,0,0,0,Yes
WkMPySeHKGY,Rib Cap Wellington… Gordon’s not going to be happy,0,0,0,Yes
YYfB_R2TjLI,The World's Most Expensive Beef Jerky,0,0,0,Yes
bf-Nksvtiww,She Wanted Raw Lobster...,0,0,0,Yes
KujgczNVy_Q,Dry Aged Fish Catch & Cook,0,0,0,Yes
tIkCThaR4fc,Seafood Feast on a Malaysian Fish Farm,0,0,0,Yes
mDw6gUIdOQs,I Cooked a Wagyu Picanha Like a Brisket,1,1,1,Yes
s_CMAhCEc5g,Candied Bacon Salmon Board,1,1,1,Yes
pu9hyOkfV5c,Grow a Weenie,0,0,0,Yes
BtkpYb__JG4,Picanha Chip,0,0,0,Yes
0kGtpQpRPRU,Worlds Biggest Rack of Ribs,1,1,1,Yes
IiChHK-mzeo,Can I move to FL before my meat defrosts?,0,0,0,No
f4k7ZB64YH8,I Turned Salmon into Cotton Candy,0,0,0,Yes
hl4hDyMBVvA,Dry Aged Buffalo Chicken,0,0,0,Yes
i2xKkIQ8eNU,"Best ""it's raw"" comment wins",0,0,0,Yes
jsrkJNd7bno,How Chicken Jerky is Made,0,0,0,Yes
E9kgHa6wh-k,Lobster Cheese Dog,0,0,0,Yes
weO4irlRYuw,Chili Crisp Dry Aged Duck,0,0,0,No
yYLLFEvvaH4,Forbidden Dorito Pt 2,0,0,0,Yes
Hb63L9YPyZg,Steak School: Picanha,0,0,0,Yes
JqNNYKSEVeE,Fresh vs Dry Aged Duck,1,1,1,Yes
uLhAzMppX5A,Chicharron Crunch Wrap,0,0,0,Yes
swTdBdJC1L4,My Biggest Regret,0,0,0,Yes
GnjVV-Dl-LI,I Turned Pork Into Cotton Candy,0,0,0,Yes
3mppFmB_HSA,"1,000 Pounds of Bacon Jerky",0,0,0,Yes
aP_7yKOk6Ok,A Very Average Steak (Sierra Steak School),0,0,0,Yes
tX0ZMeEkXGg,My Professional Fishing Career,0,0,0,Yes
8g6-d57Y7xE,I Cooked a Furry Steak,0,0,0,Yes
IvaUCK4IxAE,"$10,000 Dry Aged Tuna",0,0,0,Yes
s486nYbO80Y,The Steak Review: Joshua Weissman’s Steak House,0,0,0,Yes
NP0kQndK4Fw,Wagyu A5 Spam,0,0,0,Yes
Ij-scaFkBrI,The Budget Friendly Tomahawk,0,0,0,Yes
AwgwwNQpvuw,The Half Cow Beef-Chetta,1,1,1,Yes
haIUqAmKqzo,Can You Guess This Cut?,0,0,0,Yes
rlRPQqKyICY,The Best BBQ in KC is From Texas,0,0,1,Yes
CkqxjtEyK7I,I Feel Like a Traitor,0,0,0,Yes
UMUL5zvfpuw,“I Can’t Believe It’s Not a Ribeye” (Steak School),0,0,0,Yes
ZeDEaNJzAl8,How Kansas City Thai BBQ is Made,0,0,0,Yes
czQhfN6PEcY,The Craziest Meat Feast of My Life,0,1,0,Yes
i-xJWp2cfww,The Filet Mignapple,0,0,0,Yes
iaH_z2raAPY,The Pineapple Mignon,0,0,0,Yes
5vOGbM3cBJw,My Third Favorite Steak (Steak School),0,0,0,Yes
FZLNlhOgp6U,I Soaked a Ribeye in Coffee for 24hrs Then Dry Aged It,0,0,0,Yes
4nmr6geoGHI,Wasabi Crusted Toro Taco @valentinetb1,0,0,0,Yes
v1Yv8fS78bc,Cooking a Brisket Like a Steak,0,0,0,Yes
XA1auynQxQI,I Cooked Salmon on a Deserted Island,0,0,0,No
n3ixz8Fgw1c,How Alaskan Salmon Gets on Your Plate,0,0,0,Yes
QHlN4nte57Q,First Class Airplane Food Review: Worth It?,0,0,0,Yes
_K263qh9vyg,"$1 vs $1,000 Wine Taste Test",0,0,0,Yes
35hGDDyKiu0,"I Covered Briskets in Relish, Ketchup, Mayo and Mustard",1,1,1,Yes
1cPXvVxxckc,Worlds Hottest Dry Age (9 Million Scoville),0,0,0,Yes
_Jev7bXNjyc,Brisket vs Tofu,0,0,0,Yes
HTpzWqMD45o,I Soaked a Ribeye in Whiskey for 24hrs Then Dry Aged It,0,0,0,Yes
8hHkdPDALiU,The Rarest Steak I’ve Ever Cooked,0,0,0,Yes
oB8clo4UMEs,I Ate a Freezer Burned Steak,0,0,0,Yes
4e7LQOgLSCo,We Out-Pizza’d the Hut @ryancantcook,0,0,0,Yes
vv48rmFo3lQ,She Didn't Let Me Eat the Filet-O-Fish...,0,0,0,Yes
zqMMm47977g,Dry Aging Turned This Steak Grey...,0,0,0,Yes
GAMY4Hp6s2A,"Best ""it's raw"" comment wins pt. 4",0,0,0,Yes
H84MZlCK9TE,Best Lamb I Ever Had,0,1,1,Yes
LcNNEZ9i-QA,$300 New Years King Crab,0,0,0,Yes
N0UVzw1W_Mw,Brisket Stuffed Prime Rib,1,1,1,Yes
lzapLX2bH3o,Scallop Pasta ft. @itsQCP,0,0,0,Yes
0zlG1Knt6ZA,Steak Battles: Max vs Peter Luger,0,0,0,Yes
ZYjGfbTH4N0,The Steak Review: Peter Luger Steak House,0,0,0,No
nhmAAy0HYpA,Dry Aged vs Dry Brined vs Wet Brined PULLED PORK,0,0,1,Yes
scv7vniJ0wg,Dry Aged Pulled Pork,1,1,1,Yes
i3h3uNbgBhE,Dry Aged BRISKET Bacon BLT,1,1,1,Yes
RwTq-5tIcl0,How to Trim a Dry Aged Brisket,0,0,0,Yes
r6cv2JCiLnw,The Perfect Prime Rib,0,0,0,Yes
b5RmtXKODPo,Brisket Bread (made with ChefsTemp),1,1,1,Yes
yrFDWPJF4bs,I Soaked a Ribeye in Wine for 24hrs Then Dry Aged It,0,0,0,Yes
ZLopuHdqjBc,The Worlds Most Underrated Steak,0,0,0,Yes
cDseYSjGYIc,15 Day Marinated Brisket,0,0,0,Yes
zvktSuKszqk,Short Rib Challah Bao,0,0,0,Yes
z5GPq_pkbR0,Elk Loin Cooked Inside of Salt,0,0,0,Yes
SplCbOj2aTI,What it was like celebrating holidays in China,0,0,0,Yes
aSVEV2EmHG8,“The cutest thing you ever made” - My sister,0,0,0,Yes
SYyIbvTD2e8,The Perfect Thanksgiving Turkey,0,0,0,Yes
OoTiTqf7eZc,Not Your Average Turkey… (Peking Turkey),0,0,0,Yes
-RG6rob2cNQ,How to carve a Turkey 🦃,0,0,0,Yes
xCbATMWcb1g,Cooking a FROZEN Steak,0,0,0,Yes
cNJteplOcNI,Wagyu Tallow Dry Aged Prime Rib,1,1,1,Yes
a4V3I_3JXac,The Ultimate Surf & Turf,0,0,0,Yes
GGQUOD7K5nU,Dry Aged Roast Beef Sandwich Ft. @NickDiGiovanni,0,0,0,Yes
JZUKssceS00,APPLEWOOD Liquid Smoke + Coffee Dry Age Pt.3,0,0,1,Yes
BDwni0c9zN4,Powdered Smoke Dry Age Pt. 2,0,0,0,Yes
eHEd5XBr8wA,Cold Smoked THEN Dry Aged Ribeye Pt. 1,0,1,1,Yes
AszOPmzcTmQ,Cooking Steak with a Chef in Alaska,0,0,0,Yes
skL0m25Nj6Y,Dry Aged Alligator (Nashville Hot Gator Sandwich),0,0,0,Yes
7X3qCbSQhnY,I made my cats favorite food,0,0,0,Yes
3zypsd9C2sE,The Ultimate Triple Decker Burger,0,1,0,Yes
fwEV4l_gUQE,Smoked Bourbon Marinated Brisket,1,1,1,Yes
CKZN1IfYvC4,Wagyu Short Rib Hot Pocket,1,1,1,Yes
PYm4q_L4bII,What I Used to Eat at Sleep Away Camp…,0,0,0,Yes
Eu_OoXXhLVs,Duck Balls…,0,0,0,Yes
MQgoIhyc1Jo,The Brisket Baby,0,0,0,Yes
vwnMpfPNyes,I Made Salmon Dumplings in Alaska,0,0,0,Yes
mqvSULs1a8Q,Smoked Beef Heart,0,0,0,Yes
cMf3YuR3JUE,The hardest job I ever had…,0,0,0,Yes
8W8Au81_gTs,Best “it’s raw” comment wins…,0,0,0,No
Oz6tS6TLs1o,Gochujang Sesame Dry Age,0,0,0,Yes
OBhEz6QjmoU,What I Ate in Alaska… but it keeps getting weirder,0,0,0,Yes
uo1E2vFhAO0,Pulled Pork Ice Cream,0,0,0,Yes
EPudgBJ8uy4,“Meat” Balls (Rocky Mountain Oysters),0,0,0,Yes
SU8rvi4AzKM,Turned 30 so Made Beef Cheeks,0,0,0,Yes
NPfS-7ma2gY,Beef Tongue Tacos,1,1,1,Yes
LHYPFaQzttw,I Ate a Whole Pig (Bachelor Party Pig Pt. 3),0,0,0,Yes
io5F83eFTkM,I Bought a Pig (Bachelor Party Pig Pt. 1),0,0,0,Yes
qW8EYGkZLvc,The Steak Biggie Mac @albert_cancook,0,0,0,Yes
KKkF70aah3s,Spicy King Crab Pasta @itsQCP,0,0,0,Yes
dFh9heGhH_I,Wagyu Tallow Injected Beef Cheeks,1,1,1,Yes
wKbPJxkiq3c,Pulled Pork Cooked in Clay,0,0,1,Yes
HvM5uz3s0BI,Grilled Branzino with Salmon Egg Beurre Blanc @hwoo.lee,0,0,0,No
afKfHQ8TdtI,Chicken Cooked in Clay (Beggar’s Chicken),0,0,0,Yes
J7MWMKAHTZQ,Chicken 🥪 with the sandwich king himself @owen.han,0,0,0,No
Z7kYMjQbCKg,Octopus,1,1,1,Yes
OHqc1Lp8lFU,Mahi Mahi Tacos,0,0,0,Yes
12DbLCBVIWw,Car Cooking: Max vs Buffalo Wild Wings,1,1,1,Yes
gOlBrPXrFxA,Deconstructed Smoked Chicken,1,1,1,Yes
41HFHXmc8Ww,Lamb Brisket vs. Wagyu Brisket @GugaFoods,1,1,1,Yes
vJUiXU4xLeQ,The Frankenstein Roast,1,1,1,Yes
lkB_4ZPLPl8,The steak accordion (I did something bad),0,0,1,Yes
dNbNPmxVuWQ,3 Chicken Wing Mistakes to Stop Making (#3 is game changer),0,0,0,Yes
pojfDzs5nU4,I suck at making spring rolls @LisaNguyen,0,0,0,Yes
ArpkopAmU9M,Seasoning a steak with the crust of another steak,0,0,0,Yes
Q41FRd8mREk,Rare Japanese Knives (Korin Knife Shop),0,0,0,Yes
gFfU1RDESmM,I tasted the dry aged impossible meat…,0,0,0,Yes
swNm2DvC5uE,Jumbo Chili Cheese Dog,0,0,0,Yes
PJnb5spG7lU,Simple Crispy Pork Belly,0,0,0,Yes
H5RMhDvE7Yk,Wagyu A5 Beef Tartare Burger,0,0,0,Yes
Yv2ohC5f5mg,Dry Aged Salmon,0,0,0,Yes
pyRZyE_yAPo,My Favorite Instant Ramen Recipe pt. 14,0,0,0,Yes
xJIPlqTvUSk,I think Gordon hates me,0,0,0,Yes
CJU6XUBr4gY,Black Garlic Dry Aged Ribeye,0,0,0,Yes
p812v2g5tvA,Popcorn Pork,0,0,0,Yes
zPjZnPJ2K-o,4 Butter Basting Mistakes to Stop Making,0,0,0,Yes
R2Fi2I6RSgk,Dry Aged Impossible (Vegan) Meat,0,0,0,Yes
YYFlLferi5o,Ghost Pepper Lamb Chops at Michelin Star Restaurant,0,0,0,Yes
TAp87nKCX_E,Wagyu A5 Filet Mignon Tartare,0,0,0,Yes
9ZUDUG3Im_U,150 Day Dry Aged Spam,0,0,0,Yes
dW9w97Afcws,Maple Habanero Pork Twists,0,0,0,No
DMChBhNr08g,The Holy Grail of Beef,1,1,1,Yes
2FWrcTLYegM,Whole Cod Fish and Chips 🐟,0,0,0,Yes
5TrcrM_ooiw,Tajin Tequila Dry Age,0,0,0,Yes
ianyoKUMwK4,A spicy steak on top of Google ft. @LisaNguyen,0,0,0,Yes
77KIbqv2eEM,Deconstructed Prime Rib,0,0,0,No
g-hPtKGb8yo,A hen in her nest 🐓,0,0,0,Yes
Ahx2YptGw3I,Pork Brisket vs Bison Brisket ft. @GugaFoods,0,0,0,Yes
YQ15ugO3eI8,Pork Chips and Salsa,0,0,0,Yes
PqU8NtHBgCk,Steak Pizza ft. @GugaFoods,1,1,1,Yes
GXpioNviYl4,Everything I ate on a luxury cruise,0,0,0,Yes
EleODaehtgo,The Steak Monster 😈,0,0,0,No
jPAR4KAajVY,Pick Juice Brined Steak,0,0,0,Yes
bHgUL_W62sE,Pork Skin Chip,1,1,1,Yes
JJeznbuGEAI,The Steak Review: IHOP,0,0,0,Yes
bFRKVoR_Bsg,Dry Aged Bologna,0,0,0,Yes
6PDJXdjnWM4,My mom forced me to play the violin,0,0,0,Yes
yvy2a3gmNYs,Pork Belly Accordion,0,0,0,No
rzkrJ7T-HSA,The Steak Review: Cracker Barrel,0,0,0,Yes
GZx2n_sOGj8,Should steaks be left at room temp before cooking?,0,0,0,Yes
5aAdnro2mx8,Do 15lb lobsters taste bad? ft. @NickDiGiovanni,0,0,0,Yes
1LcH86evTyI,How to grill a porterhouse,0,0,0,Yes
dU_dDHh_LMY,The doctor said I need to eat more fish…,0,0,0,Yes
MY9l1G6aT_I,The time I got stood up on a date 💔,0,0,0,Yes
6iPbI3HAUEo,A Big Brisket Sandwich,0,0,0,No
0y2ntUU5n04,Car Cooking: Red Lobster @NickDiGiovanni,0,0,0,Yes
WEfbBm7qTUE,The sandwich from my nightmares,0,0,0,Yes
NqHZXM3RB9Q,The day I fell in love,0,0,0,Yes
gAEAVA9Ippg,Steak Battles: Max vs Ken’s (cops called👮‍♂️),0,0,0,Yes
Ms7gIC6i_sA,Duck Fat Chip 🦆,1,1,1,Yes
czKXBBUezps,The Ultimate Smash Burger,1,1,1,Yes
k-kEgO4WkeE,Pork Belly Bread 🐷,1,1,1,Yes
gPGAIx2wC40,28 Day Salt Dry Age 🧂,0,0,0,Yes
MshH6ajPKP4,Butter Injected Lobster 🦞,0,0,0,Yes
YB3hofmgZLo,Homemade McFish,0,0,0,Yes
WpGrl1-GZMA,Chicken and Waffles x TikTok Cake #shorts,0,0,0,Yes
JUFf5yrZDbA,How did I make money living in China? Ft. Every TikTok creator seasoning #shorts,0,0,0,No
rGoZfebxjVI,Tofu Ribs (for all my loyal vegan followers) #shorts,0,0,0,Yes
R6T3D6gu1GI,Has social media made me hate cooking? #shorts,0,0,0,No
bMC13z2GCqc,Best “it’s raw” comment wins (pt 2) #shorts,0,0,0,No
5GaIEvusqbU,Steak Ice Cream #shorts,0,0,0,No
gAj7I7nt_XA,Prime Rib Reuben #shorts,0,0,0,Yes
Hkg2e_9PjMI,What happens if you don’t rest your roast? #shorts,0,0,0,Yes
l9Yo0I3GSJ4,How to Prep & French a Prime Rib #shorts,0,0,0,Yes
ESBJgrUdykY,Holiday Prime Rib (Thicc crust) #shorts,0,0,0,Yes
5XC6GjfM7Os,I (kinda) got kicked out of Wendy’s parking lot #shorts,0,0,1,Yes
3_OArk8bZNU,CAR COOKING: Sleepover at Wendy's (Max vs Baconator) #shorts,1,1,1,Yes
F75zF9pjVUM,Dry Aged Striped Bass #shorts,0,0,0,Yes
fWH79nI3DFU,Car Cooking x Does it Deep Fry: McRib #shorts,0,0,0,Yes
kU_W_YIsFL4,The Tomahawk King (well done & rare) #shorts,0,0,0,No
lZI4IT2EbIc,The Old Fashioned: Orange & Whisky Dry Age #shorts,0,0,0,Yes
AJ3Py2n_cUY,The Ultimate Seafood Tower #shorts,1,1,1,Yes
DWgJ57LV4RE,Does it Deep Fry: Whole Duck #shorts,0,0,0,Yes
y3I17q1I0UQ,Pulled Pork Cinnamon Rolls #shorts,0,0,1,Yes
blDev_gChA4,$1 vs $100 bite - what does an 8 yr old like more? #shorts,0,0,1,Yes
-2exRhKYqRk,Green Dry Aged Turkey #shorts,0,0,0,No
iuhIgUfRz0Y,Surf & Turf Sandwich #shorts,0,0,0,Yes
LJaj3E29N_4,The right way to carve a Turkey #shorts,0,0,0,Yes
KzWS_w6An1U,🍆 Wellington #shorts,0,0,0,No
WUGzlHBvm-E,Tomato Wellington 🍅 #shorts,0,0,0,No
koNFDjyt6zw,The Perfect Thanksgiving Turkey #shorts,0,0,0,Yes
i-15DZuO3u0,100 Day Dry Age Wagyu Beef Shank #shorts,0,0,0,Yes
53gyRm319-c,The Turkey Wellington #shorts,0,0,0,Yes
5KLhlKMPKss,"Dry Aged Tuna Sushi ($4,000!!) #shorts",0,0,0,Yes
qc1aPTPIgvA,Bacon Wrapped Tomahawk #shorts,0,0,0,Yes
18lSwA77zcs,Sour patch kids dry age experiment (don't try this at home) #shorts,0,0,0,Yes
sZKQVbWVNYI,Eating Duck with Mark Zuckerberg #shorts,0,0,0,Yes
Mh_IOsM88Ik,The Ostrich Egg Exploded Before I Could Slice It 🥲 #shorts,0,0,0,No
fGEDb2lUWI4,Should you really cut steaks AGAINST the grain? (Real fire pit) #shorts,0,0,0,Yes
SfkoDFjAZ8g,How I almost burned down my house #shorts,0,0,0,No
WXKp_11ehbQ,Pumpkin Spice Dry Aged Ribeye #shorts,0,0,0,No
BjHLQzkMJtw,Does it Deep Fry: Ice #shorts,0,0,0,Yes
Cun-ny0N4dw,How I almost died buying my first smoker #shorts,0,0,0,Yes
9cBVeyhW_SE,I dropped this steak in real dirt #shorts,0,0,0,No
jrqt8aIvKDo,Steak School: New York Strip (Strip Steak) #shorts,0,0,0,Yes
sNsfvfEi27Y,Chocolate & Coffee Dry Aged Ribeye #shorts,0,0,0,Yes
keAOhf4FFkQ,6 Steak Temps (Ketchup - Vampire) #shorts,0,1,0,Yes
Hywmhl2eQlQ,Does it Deep Fry: Pork Belly #shorts,0,0,0,Yes
6KrsRM5d_0s,The Steak Review: Longhorn #shorts,0,0,0,Yes
0AQ_eSNlH78,Turned 29 so cooked 🥩 #shorts,0,0,0,No
MDJjWi0Wzh8,Steak Battles: Max vs Longhorn Steakhouse #shorts,0,0,0,Yes
DvawYzNvGbk,Steak of the Sea #shorts,0,0,0,Yes
MRWYEzIF3wM,Spicy Toro Crispy Rice #shorts,0,0,0,Yes
H4lekFAtUZM,Grilled Lobster Roll x Truffle Fries #shorts,0,0,0,No
gEQeKJsAFSk,Team Medium Rare or Well Done? #shorts,0,0,0,Yes
